"cell_type"	"biopsy_tissue"	"biopsy_cell_selection"	"grouping_id"	"study_id"	"hgnc_symbol"	"ensembl_gene_id"	"ensembl_version"	"p_value"	"p_value_adj"	"auc"	"pct_cells_target_cluster"	"pct_cells_other_clusters"	"avg_logFC"	"study_specific_columns"	"study_specific_columns_values"	"notes"
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"IDS"	"ENSG00000010404"	99		3.87e-82				0.9222102	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"IL32"	"ENSG00000008517"	99		1.9e-79				0.99374104	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"IL7R"	"ENSG00000168685"	99		1.11e-250				1.3613752	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"ITM2A"	"ENSG00000078596"	99		7.94e-91				1.2822773	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"JUND"	"ENSG00000130522"	99		2.96e-91				0.7157916	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"KLF6"	"ENSG00000067082"	99		1.88e-123				0.56423783	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"KLRB1"	"ENSG00000111796"	99		3.54e-160				1.4225044	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"LEPROTL1"	"ENSG00000104660"	99		2.65e-127				1.1491033	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"MALAT1"	"ENSG00000251562"	99		9.47e-156				0.15536223	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"MYADM"	"ENSG00000179820"	99		4.16e-97				1.1447349	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"NAP1L1"	"ENSG00000187109"	99		5.85e-82				0.6052133	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"PABPC1"	"ENSG00000070756"	99		7.58e-134				0.44653255	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"PPP1CB"	"ENSG00000213639"	99		4.93e-93				1.1513753	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"PTGER4"	"ENSG00000171522"	99		2.23e-138				1.4772818	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"PTMA"	"ENSG00000187514"	99		1.8e-96				0.21799418	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"PTPRC"	"ENSG00000081237"	99		2.2e-82				0.64239514	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RGCC"	"ENSG00000102760"	99		3.52e-143				1.2915993	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RORA"	"ENSG00000069667"	99		2.44e-99				1.3195275	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL10"	"ENSG00000147403"	99		1.91e-77				0.10729206	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL11"	"ENSG00000142676"	99		1.57e-89				0.17541596	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL12"	"ENSG00000197958"	99		1.4e-74				0.1744261	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL13"	"ENSG00000167526"	99		4.39e-102				0.15094714	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL13A"	"ENSG00000142541"	99		2.02e-133				0.2362442	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL17"	"ENSG00000265681"	99		3.12e-138				0.4775529	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL21"	"ENSG00000122026"	99		4e-133				0.2088432	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL22"	"ENSG00000116251"	99		2.04e-80				0.2596921	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL23A"	"ENSG00000198242"	99		2.41e-101				0.19001523	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL27"	"ENSG00000131469"	99		1.41e-96				0.2569314	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL27A"	"ENSG00000166441"	99		3.92e-112				0.2523071	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL3"	"ENSG00000100316"	99		8.63e-75				0.13634036	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL30"	"ENSG00000156482"	99		6.15e-83				0.20575884	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL31"	"ENSG00000071082"	99		3.97e-153				0.35207975	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL32"	"ENSG00000144713"	99		1.41e-114				0.19740605	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL34"	"ENSG00000109475"	99		4.98e-109				0.18517298	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL35"	"ENSG00000136942"	99		2.66e-98				0.19807702	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL35A"	"ENSG00000182899"	99		1.71e-87				0.17964578	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL36"	"ENSG00000130255"	99		4.37e-108				0.21263728	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL36A"	"ENSG00000241343"	99		3.48e-140				0.44059327	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL37"	"ENSG00000145592"	99		6.72e-97				0.21422477	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL38"	"ENSG00000172809"	99		7.01e-145				0.34393454	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL39"	"ENSG00000198918"	99		7.13e-110				0.18751082	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL41"	"ENSG00000229117"	99		5.12e-102				0.1279604	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL7"	"ENSG00000147604"	99		2.75e-110				0.25473255	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPL9"	"ENSG00000163682"	99		2.52e-131				0.23912853	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPLP1"	"ENSG00000137818"	99		4.38e-92				0.116265625	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPLP2"	"ENSG00000177600"	99		1.8e-139				0.21398315	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS10"	"ENSG00000124614"	99		1.77e-104				0.3260111	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS12"	"ENSG00000112306"	99		6.45e-116				0.2113753	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS14"	"ENSG00000164587"	99		3.33e-75				0.14509216	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS15A"	"ENSG00000134419"	99		8.52e-109				0.19009921	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS17"	"ENSG00000182774"	99		3.07e-145				0.4348647	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS18"	"ENSG00000231500"	99		1.24e-102				0.15057817	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS19"	"ENSG00000105372"	99		7.3e-79				0.14845487	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS2"	"ENSG00000140988"	99		5.6e-76				0.14443964	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS20"	"ENSG00000008988"	99		3.8e-122				0.318359	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS21"	"ENSG00000171858"	99		3.14e-78				0.23786128	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS25"	"ENSG00000118181"	99		7.15e-119				0.22369422	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS27"	"ENSG00000177954"	99		1.17e-128				0.20911403	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS27A"	"ENSG00000143947"	99		1.53e-119				0.19334438	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS28"	"ENSG00000233927"	99		2.85e-83				0.15526626	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS29"	"ENSG00000213741"	99		6.54e-184				0.30448157	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS3"	"ENSG00000149273"	99		3.22e-108				0.20691873	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS3A"	"ENSG00000145425"	99		7.14e-79				0.18220802	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"RPS6"	"ENSG00000137154"	99		1.91e-128				0.19960223	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"SARAF"	"ENSG00000133872"	99		5.05e-121				0.5080407	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"SRGN"	"ENSG00000122862"	99		1.18e-85				0.4571128	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"SRSF5"	"ENSG00000100650"	99		2.39e-77				0.5045754	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"SRSF7"	"ENSG00000115875"	99		7.77e-79				0.54961467	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TMSB4X"	"ENSG00000205542"	99		1.67e-109				0.24576572	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TNFAIP3"	"ENSG00000118503"	99		3.3e-157				1.0903287	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TPT1"	"ENSG00000133112"	99		1.23e-122				0.18479136	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TRAC"	"ENSG00000277734"	99		7.29e-224				1.3366227	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TRAT1"	"ENSG00000163519"	99		1.74e-100				1.6868992	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TRBC2"	"ENSG00000211772"	99		6.49e-74				0.9500268	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"TUBA1A"	"ENSG00000167552"	99		5.22e-83				1.0017173	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"UBA52"	"ENSG00000221983"	99		7.04e-81				0.23324732	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"YPEL5"	"ENSG00000119801"	99		3.08e-87				0.7380344	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ACTG1"	"ENSG00000184009"	99		1				0.6381201	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ANAPC11"	"ENSG00000141552"	99		1				1.5795923	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ANP32B"	"ENSG00000136938"	99		1				1.0269135	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ASPM"	"ENSG00000066279"	99		1				6.8542747	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"AURKA"	"ENSG00000087586"	99		1				5.2286806	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"AURKAIP1"	"ENSG00000175756"	99		1				1.4528421	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"AURKB"	"ENSG00000178999"	99		1				6.6319175	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"BIRC5"	"ENSG00000089685"	99		1				6.031191	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"BUB1"	"ENSG00000169679"	99		1				5.7772923	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"C8orf59"	"ENSG00000176731"	99		1				1.3771147	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CASP3"	"ENSG00000164305"	99		1				2.3971639	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CCDC167"	"ENSG00000198937"	99		1				2.0715866	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CCDC69"	"ENSG00000198624"	99		1				2.1237772	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CCNA2"	"ENSG00000145386"	99		1				5.798189	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CD74"	"ENSG00000019582"	99		1				0.96343094	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CD79A"	"ENSG00000105369"	99		1				1.2330773	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CDC6"	"ENSG00000094804"	99		1				5.52938	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CDCA5"	"ENSG00000146670"	99		1				6.821126	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CDK1"	"ENSG00000170312"	99		1				6.404189	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CDKN3"	"ENSG00000100526"	99		1				5.8616176	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CENPW"	"ENSG00000203760"	99		1				5.043241	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CFL1"	"ENSG00000172757"	99		1				0.6597133	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CKS1B"	"ENSG00000173207"	99		1				2.8294156	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CKS2"	"ENSG00000123975"	99		1				2.1513534	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CLTA"	"ENSG00000122705"	99		1				1.6991708	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CTCF"	"ENSG00000102974"	99		1				2.3910322	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"CTSH"	"ENSG00000103811"	99		1				2.055203	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"DBI"	"ENSG00000155368"	99		0.302055945				1.5677063	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"DUT"	"ENSG00000128951"	99		1				1.5847799	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"FDPS"	"ENSG00000160752"	99		1				1.900614	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"FH"	"ENSG00000091483"	99		1				2.601521	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GABPA"	"ENSG00000154727"	99		1				3.7308779	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GAPDH"	"ENSG00000111640"	99		0.302055945				0.84512687	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GGA2"	"ENSG00000103365"	99		1				2.3206375	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GRB2"	"ENSG00000177885"	99		1				1.2298031	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GSTP1"	"ENSG00000084207"	99		1				1.2110027	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"GTSE1"	"ENSG00000075218"	99		1				6.524073	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"H2AFV"	"ENSG00000105968"	99		1				1.5249265	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"H2AFZ"	"ENSG00000164032"	99		1				1.4025829	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"H3F3A"	"ENSG00000163041"	99		1				0.53547114	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HIST1H4C"	"ENSG00000197061"	99		1				1.6535261	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HJURP"	"ENSG00000123485"	99		1				6.7499967	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DQA1"	"ENSG00000196735"	99		1				1.7190762	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRB1"	"ENSG00000196126"	99		1				1.5284818	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HMGA1"	"ENSG00000137309"	99		1				2.043646	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HMGB1"	"ENSG00000189403"	99		0.482035039				0.91490066	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HMGB3"	"ENSG00000029993"	99		1				4.0469985	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HNRNPA2B1"	"ENSG00000122566"	99		1				0.61832577	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HNRNPAB"	"ENSG00000197451"	99		1				1.9145468	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"HNRNPD"	"ENSG00000138668"	99		1				1.916483	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"LSP1"	"ENSG00000130592"	99		1				1.1067048	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"MAD2L1"	"ENSG00000164109"	99		1				3.199019	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"MKI67"	"ENSG00000148773"	99		1				6.7353835	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"MYBL2"	"ENSG00000101057"	99		1				4.9804583	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"NDUFAB1"	"ENSG00000004779"	99		1				1.6537803	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"NUSAP1"	"ENSG00000137804"	99		1				5.081248	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"OAZ1"	"ENSG00000104904"	99		1				0.48165065	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ORC6"	"ENSG00000091651"	99		1				4.0841384	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PKM"	"ENSG00000067225"	99		1				1.3004324	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PKMYT1"	"ENSG00000127564"	99		1				6.924376	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"POU2AF1"	"ENSG00000110777"	99		1				1.8035592	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PPIA"	"ENSG00000196262"	99		1				0.6901415	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PPP1CA"	"ENSG00000172531"	99		1				1.3535975	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PPP2CA"	"ENSG00000113575"	99		1				1.5869755	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PRDX1"	"ENSG00000117450"	99		1				1.1248752	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PSMB6"	"ENSG00000142507"	99		1				1.4634154	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PTTG1"	"ENSG00000164611"	99		1				2.6998124	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"PXMP2"	"ENSG00000176894"	99		1				4.122117	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"RAC1"	"ENSG00000136238"	99		1				1.3094742	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"RAN"	"ENSG00000132341"	99		1				1.1915829	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"REEP5"	"ENSG00000129625"	99		1				1.2288772	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"RHOA"	"ENSG00000067560"	99		1				0.8129251	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"RRM2"	"ENSG00000171848"	99		1				7.6601067	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SEC61G"	"ENSG00000132432"	99		1				0.95252347	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SERF2"	"ENSG00000140264"	99		1				0.4501353	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SET"	"ENSG00000119335"	99		1				1.2014936	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SH2B2"	"ENSG00000160999"	99		1				2.6878304	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SHCBP1"	"ENSG00000171241"	99		1				6.802194	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SLC25A5"	"ENSG00000005022"	99		0.336952264				1.3674533	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SMC2"	"ENSG00000136824"	99		1				2.982916	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SMC4"	"ENSG00000113810"	99		1				2.4651775	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"SPC25"	"ENSG00000152253"	99		1				7.340874	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"STMN1"	"ENSG00000117632"	99		0.234565528				3.1789985	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TCF19"	"ENSG00000137310"	99		1				3.5782244	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TFDP1"	"ENSG00000198176"	99		1				2.5936277	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TK1"	"ENSG00000167900"	99		1				5.517668	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TMPO"	"ENSG00000120802"	99		1				2.4626663	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TOP2A"	"ENSG00000131747"	99		1				5.708285	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TUBA1B"	"ENSG00000123416"	99		1				1.267629	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TUBB"	"ENSG00000196230"	99		1				1.667022	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TUBB4B"	"ENSG00000188229"	99		1				1.4317847	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"TYMS"	"ENSG00000176890"	99		1				6.1171837	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"UBE2C"	"ENSG00000175063"	99		1				6.2642784	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"UBE2J1"	"ENSG00000198833"	99		0.302055945				1.714854	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"UBE2L3"	"ENSG00000185651"	99		1				1.3998812	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"UBE2N"	"ENSG00000177889"	99		1				1.5960487	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"UQCRH"	"ENSG00000173660"	99		1				0.9146125	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"VOPP1"	"ENSG00000154978"	99		0.302055945				2.0149844	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"YWHAE"	"ENSG00000108953"	99		1				1.3759758	""	""	
"B cell cycling"	"colon"	"immune"		"JamesKR-32066951"	"ZWINT"	"ENSG00000122952"	99		1				5.5555453	""	""	
"B cell IgA Plasma"	"colon"	"immune"		"JamesKR-32066951"	"AC104699.1"		99		0				3.7176397	""	""	
