ensembl_gene_id	ensembl_gene_id2	hgnc_symbol
ENSG00000275520	ENSG00000275520.2	FAM236A
ENSG00000269502	ENSG00000269502.5	DMRTC1
ENSG00000196459	ENSG00000196459.14	TRAPPC2
ENSG00000186787	ENSG00000186787.8	SPIN2B
ENSG00000155622	ENSG00000155622.7	XAGE2
ENSG00000147059	ENSG00000147059.8	SPIN2A
ENSG00000147223	ENSG00000147223.6	RIPPLY1
ENSG00000133138	ENSG00000133138.20	TBC1D8B
ENSG00000184388	ENSG00000184388.6	PABPC1L2B
ENSG00000186288	ENSG00000186288.5	PABPC1L2A
ENSG00000186462	ENSG00000186462.9	NAP1L2
ENSG00000165376	ENSG00000165376.11	CLDN2
ENSG00000133131	ENSG00000133131.15	MORC4
ENSG00000165591	ENSG00000165591.6	FAAH2
ENSG00000188937	ENSG00000188937.5	NYX
ENSG00000204086	ENSG00000204086.4	RPA4
ENSG00000198455	ENSG00000198455.4	ZXDB
ENSG00000147202	ENSG00000147202.18	DIAPH2
ENSG00000215174	ENSG00000215174.2	NLRP2B
ENSG00000198205	ENSG00000198205.6	ZXDA
ENSG00000205667	ENSG00000205667.3	ARSH
ENSG00000062096	ENSG00000062096.15	ARSF
ENSG00000204379	ENSG00000204379.11	XAGE1A
ENSG00000101825	ENSG00000101825.8	MXRA5
ENSG00000147155	ENSG00000147155.11	EBP
ENSG00000204382	ENSG00000204382.11	XAGE1B
ENSG00000068354	ENSG00000068354.16	TBC1D25
ENSG00000286268	ENSG00000286268.1	AF196969.1
ENSG00000268447	ENSG00000268447.6	SSX2B
ENSG00000131264	ENSG00000131264.3	CDX4
ENSG00000241476	ENSG00000241476.8	SSX2
ENSG00000187754	ENSG00000187754.9	SSX7
ENSG00000186767	ENSG00000186767.7	SPIN4
ENSG00000183943	ENSG00000183943.6	PRKX
ENSG00000102317	ENSG00000102317.18	RBM3
ENSG00000204116	ENSG00000204116.11	CHIC1
ENSG00000130066	ENSG00000130066.16	SAT1
ENSG00000204363	ENSG00000204363.5	SPANXN5
ENSG00000165182	ENSG00000165182.11	CXorf58
ENSG00000184831	ENSG00000184831.14	APOO
ENSG00000171405	ENSG00000171405.12	XAGE5
ENSG00000171402	ENSG00000171402.15	XAGE3
ENSG00000179304	ENSG00000179304.16	FAM156B
ENSG00000165194	ENSG00000165194.15	PCDH19
ENSG00000268350	ENSG00000268350.7	FAM156A
ENSG00000000005	ENSG00000000005.6	TNMD
ENSG00000147164	ENSG00000147164.12	SNX12
ENSG00000089682	ENSG00000089682.16	RBM41
ENSG00000198088	ENSG00000198088.10	NUP62CL
ENSG00000000003	ENSG00000000003.15	TSPAN6
ENSG00000101940	ENSG00000101940.18	WDR13
ENSG00000184194	ENSG00000184194.6	GPR173
ENSG00000080572	ENSG00000080572.13	PIH1D3
ENSG00000184481	ENSG00000184481.17	FOXO4
ENSG00000184205	ENSG00000184205.14	TSPYL2
ENSG00000147234	ENSG00000147234.10	FRMPD3
ENSG00000174010	ENSG00000174010.9	KLHL15
ENSG00000147168	ENSG00000147168.13	IL2RG
ENSG00000130741	ENSG00000130741.11	EIF2S3
ENSG00000204165	ENSG00000204165.6	CXorf65
ENSG00000285171	ENSG00000285171.1	AL590764.2
ENSG00000005889	ENSG00000005889.15	ZFX
ENSG00000147224	ENSG00000147224.12	PRPS1
ENSG00000102359	ENSG00000102359.7	SRPX2
ENSG00000102362	ENSG00000102362.15	SYTL4
ENSG00000146938	ENSG00000146938.16	NLGN4X
ENSG00000169059	ENSG00000169059.12	VCX3A
ENSG00000101811	ENSG00000101811.13	CSTF2
ENSG00000007952	ENSG00000007952.18	NOX1
ENSG00000130021	ENSG00000130021.15	PUDP
ENSG00000101846	ENSG00000101846.8	STS
ENSG00000005302	ENSG00000005302.19	MSL3
ENSG00000015285	ENSG00000015285.11	WAS
ENSG00000182489	ENSG00000182489.9	XKRX
ENSG00000130985	ENSG00000130985.17	UBA1
ENSG00000101945	ENSG00000101945.17	SUV39H1
ENSG00000171433	ENSG00000171433.12	GLOD5
ENSG00000232593	ENSG00000232593.7	KANTR
ENSG00000067992	ENSG00000067992.15	PDK3
ENSG00000174225	ENSG00000174225.15	ARL13A
ENSG00000102145	ENSG00000102145.15	GATA1
ENSG00000188917	ENSG00000188917.15	TRMT2B
ENSG00000126950	ENSG00000126950.8	TMEM35A
ENSG00000102230	ENSG00000102230.14	PCYT1B
ENSG00000170935	ENSG00000170935.8	NCBP2L
ENSG00000157514	ENSG00000157514.16	TSC22D3
ENSG00000126012	ENSG00000126012.12	KDM5C
ENSG00000184634	ENSG00000184634.16	MED12
ENSG00000182583	ENSG00000182583.12	VCX
ENSG00000101868	ENSG00000101868.11	POLA1
ENSG00000080561	ENSG00000080561.13	MID2
ENSG00000006757	ENSG00000006757.12	PNPLA4
ENSG00000177504	ENSG00000177504.10	VCX2
ENSG00000205642	ENSG00000205642.10	VCX3B
ENSG00000182220	ENSG00000182220.15	ATP6AP2
ENSG00000102384	ENSG00000102384.13	CENPI
ENSG00000011201	ENSG00000011201.12	ANOS1
ENSG00000196338	ENSG00000196338.13	NLGN3
ENSG00000170925	ENSG00000170925.3	TEX13B
ENSG00000102385	ENSG00000102385.12	DRP2
ENSG00000102387	ENSG00000102387.15	TAF7L
ENSG00000004848	ENSG00000004848.8	ARX
ENSG00000126953	ENSG00000126953.8	TIMM8A
ENSG00000131089	ENSG00000131089.17	ARHGEF9
ENSG00000176774	ENSG00000176774.6	MAGEB18
ENSG00000232030	ENSG00000232030.3	MAGEB6B
ENSG00000101842	ENSG00000101842.13	VSIG1
ENSG00000176746	ENSG00000176746.6	MAGEB6
ENSG00000188408	ENSG00000188408.5	MAGEB5
ENSG00000224960	ENSG00000224960.5	PPP4R3C
ENSG00000189186	ENSG00000189186.10	DCAF8L2
ENSG00000183304	ENSG00000183304.10	FAM9A
ENSG00000177689	ENSG00000177689.10	MAGEB10
ENSG00000010671	ENSG00000010671.16	BTK
ENSG00000226372	ENSG00000226372.4	DCAF8L1
ENSG00000169562	ENSG00000169562.12	GJB1
ENSG00000046651	ENSG00000046651.15	OFD1
ENSG00000177138	ENSG00000177138.17	FAM9B
ENSG00000094631	ENSG00000094631.21	HDAC6
ENSG00000102393	ENSG00000102393.12	GLA
ENSG00000101843	ENSG00000101843.19	PSMD10
ENSG00000257529	ENSG00000257529.5	RPL36A-HNRNPH2
ENSG00000241343	ENSG00000241343.10	RPL36A
ENSG00000126945	ENSG00000126945.9	HNRNPH2
ENSG00000102225	ENSG00000102225.16	CDK16
ENSG00000120280	ENSG00000120280.6	CXorf21
ENSG00000196440	ENSG00000196440.11	ARMCX4
ENSG00000124313	ENSG00000124313.16	IQSEC2
ENSG00000101850	ENSG00000101850.13	GPR143
ENSG00000101849	ENSG00000101849.17	TBL1X
ENSG00000169306	ENSG00000169306.10	IL1RAPL1
ENSG00000046653	ENSG00000046653.15	GPM6B
ENSG00000072501	ENSG00000072501.18	SMC1A
ENSG00000158423	ENSG00000158423.17	RIBC1
ENSG00000126947	ENSG00000126947.13	ARMCX1
ENSG00000099399	ENSG00000099399.6	MAGEB2
ENSG00000198798	ENSG00000198798.5	MAGEB3
ENSG00000120289	ENSG00000120289.12	MAGEB4
ENSG00000214107	ENSG00000214107.8	MAGEB1
ENSG00000198960	ENSG00000198960.11	ARMCX6
ENSG00000169297	ENSG00000169297.8	NR0B1
ENSG00000238205	ENSG00000238205.3	MPC1L
ENSG00000185753	ENSG00000185753.13	CXorf38
ENSG00000101844	ENSG00000101844.18	ATG4A
ENSG00000180182	ENSG00000180182.11	MED14
ENSG00000102226	ENSG00000102226.10	USP11
ENSG00000198814	ENSG00000198814.12	GK
ENSG00000187969	ENSG00000187969.6	ZCCHC13
ENSG00000072506	ENSG00000072506.13	HSD17B10
ENSG00000102401	ENSG00000102401.20	ARMCX3
ENSG00000147100	ENSG00000147100.11	SLC16A2
ENSG00000147130	ENSG00000147130.14	ZMYM3
ENSG00000184675	ENSG00000184675.11	AMER1
ENSG00000198881	ENSG00000198881.10	ASB12
ENSG00000147117	ENSG00000147117.8	ZNF157
ENSG00000146950	ENSG00000146950.13	SHROOM2
ENSG00000102043	ENSG00000102043.16	MTMR8
ENSG00000157625	ENSG00000157625.15	TAB3
ENSG00000132446	ENSG00000132446.7	FTHL17
ENSG00000234469	ENSG00000234469.4	CLDN34
ENSG00000047644	ENSG00000047644.19	WWC3
ENSG00000101882	ENSG00000101882.10	NKAP
ENSG00000186471	ENSG00000186471.13	AKAP14
ENSG00000184867	ENSG00000184867.14	ARMCX2
ENSG00000073464	ENSG00000073464.12	CLCN4
ENSG00000197565	ENSG00000197565.16	COL4A6
ENSG00000147124	ENSG00000147124.12	ZNF41
ENSG00000046647	ENSG00000046647.13	GEMIN8
ENSG00000008056	ENSG00000008056.14	SYN1
ENSG00000131721	ENSG00000131721.6	RHOXF2
ENSG00000101883	ENSG00000101883.5	RHOXF1
ENSG00000203989	ENSG00000203989.5	RHOXF2B
ENSG00000126759	ENSG00000126759.13	CFP
ENSG00000102265	ENSG00000102265.12	TIMP1
ENSG00000078061	ENSG00000078061.13	ARAF
ENSG00000085224	ENSG00000085224.22	ATRX
ENSG00000171659	ENSG00000171659.15	GPR34
ENSG00000147044	ENSG00000147044.21	CASK
ENSG00000177485	ENSG00000177485.7	ZBTB33
ENSG00000126970	ENSG00000126970.16	ZC4H2
ENSG00000101958	ENSG00000101958.14	GLRA2
ENSG00000125355	ENSG00000125355.15	TMEM255A
ENSG00000102053	ENSG00000102053.12	ZC3H12B
ENSG00000181544	ENSG00000181544.15	FANCB
ENSG00000001497	ENSG00000001497.16	LAS1L
ENSG00000102158	ENSG00000102158.19	MAGT1
ENSG00000131174	ENSG00000131174.7	COX7B
ENSG00000130150	ENSG00000130150.12	MOSPD2
ENSG00000124486	ENSG00000124486.13	USP9X
ENSG00000187682	ENSG00000187682.2	ERAS
ENSG00000101892	ENSG00000101892.12	ATP1B4
ENSG00000102109	ENSG00000102109.9	PCSK1N
ENSG00000102048	ENSG00000102048.16	ASB9
ENSG00000165240	ENSG00000165240.20	ATP7A
ENSG00000102144	ENSG00000102144.15	PGK1
ENSG00000226784	ENSG00000226784.3	PGAM4
ENSG00000165192	ENSG00000165192.14	ASB11
ENSG00000188153	ENSG00000188153.14	COL4A5
ENSG00000131263	ENSG00000131263.13	RLIM
ENSG00000050030	ENSG00000050030.15	NEXMIF
ENSG00000101871	ENSG00000101871.15	MID1
ENSG00000198947	ENSG00000198947.15	DMD
ENSG00000126767	ENSG00000126767.18	ELK1
ENSG00000126756	ENSG00000126756.12	UXT
